tag,area,date,name,2022/6/24,2022/6/17,delta_value_week,delta_value_year
production,PADD 1,2022/6/24,"East Coast (PADD 1) Refiner and Blender Net Production of Finished Motor Gasoline, Weekly",3196,3198,-2,-16
production,PADD 2,2022/6/24,"Midwest (PADD 2) Refiner and Blender Net Production of Finished Motor Gasoline, Weekly",2574,2514,60,-93.75
production,PADD 3,2022/6/24,"Gulf Coast (PADD 3) Refiner and Blender Net Production of Finished Motor Gasoline, Weekly",2292,2058,234,-112.5
production,PADD 4,2022/6/24,"Rocky Mountain (PADD 4) Refiner and Blender Net Production of Finished Motor Gasoline, Weekly",367,350,17,24
production,PADD 5,2022/6/24,"West Coast (PADD 5) Refiner and Blender Net Production of Finished Motor Gasoline, Weekly",1449,1467,-18,-65
production,U.S.,2022/6/24,"U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline, Weekly",9497,9354,143,-87.75
imports,PADD 1,2022/6/24,"East Coast (PADD 1) Imports of Total Gasoline, Weekly",618,662,-44,1.5
imports,PADD 2,2022/6/24,"Midwest (PADD 2) Imports of Total Gasoline, Weekly",2,1,1,0.75
imports,PADD 3,2022/6/24,"Gulf Coast (PADD 3) Imports of Total Gasoline, Weekly",135,49,86,-17.5
imports,PADD 4,2022/6/24,"Rocky Mountain (PADD 4) Imports of Total Gasoline, Weekly",4,1,3,-3.25
imports,PADD 5,2022/6/24,"West Coast (PADD 5) Imports of Total Gasoline, Weekly",66,70,-4,-55.75
imports,U.S.,2022/6/24,"U.S. Imports of Finished Motor Gasoline, Weekly",137,100,37,-37.25
imports,U.S.,2022/6/24,"U.S. Imports of Gasoline Blending Components, Weekly",687,684,3,-36.5
imports,U.S.,2022/6/24,"U.S. Imports of Total Gasoline, Weekly",824,783,41,-74.25
exports,,2022/6/24,"U.S. Exports of Finished Motor Gasoline, Weekly",969,930,39,162.25
sales,,2022/6/24,"U.S. Product Supplied of Finished Motor Gasoline, Weekly",8922,8505,417,-183.5
stocks,PADD 1,2022/6/24,"East Coast (PADD 1) Ending Stocks of Total Gasoline, Weekly",53375,52349,1026,-15575.25
stocks,PADD 2,2022/6/24,"Midwest (PADD 2) Ending Stocks of Total Gasoline, Weekly",46792,46324,468,-3508.25
stocks,PADD 3,2022/6/24,"Gulf Coast (PADD 3) Ending Stocks of Total Gasoline, Weekly",83862,83315,547,-4541.5
stocks,PADD 4,2022/6/24,"Rocky Mountain (PADD 4) Ending Stocks of Total Gasoline, Weekly",6306,5983,323,-621.25
stocks,PADD 5,2022/6/24,"West Coast (PADD 5) Ending Stocks of Total Gasoline, Weekly",31274,30992,282,1896.5
stocks,U.S.,2022/6/24,"U.S. Ending Stocks of Finished Motor Gasoline, Weekly",17061,18864,-1803,-2791
stocks,U.S.,2022/6/24,"U.S. Ending Stocks of Gasoline Blending Components, Weekly",204548,200099,4449,-19558.25
stocks,U.S.,2022/6/24,"U.S. Ending Stocks of Total Gasoline, Weekly",221608,218963,2645,-22349.75
